path,reason
05_results/reference/2026-06-21-aci-vs-splitcp-metrics.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-all-facilities-per-facility.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-all-facilities-summary.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-bham-model-mae.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-bham-per-facility.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-bham-summary.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-conditional-coverage.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-conditional-overall.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-delta-model-mae.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-delta-per-facility.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-delta-summary.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-model-agnostic.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-splitcp-baseline-metrics.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-21-trust-abstain.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-belgrade-basemodel.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-belgrade-fractarget.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-belgrade-per-facility.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-belgrade-summary.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-birmingham-basemodel.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-birmingham-fractarget.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-birmingham-per-facility.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-birmingham-summary.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-conditional.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-06-25-corr-trustabstain.csv,"pre-rejection era (EXP-001..015, superseded pipeline); retained for provenance, regenerated by nothing live"
05_results/reference/2026-08-04-acqr-belgrade-per-facility.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-acqr-birmingham-per-facility.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-allocation-vignette-requests.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-allocation-vignette.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-e3-belgrade-per-facility.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
05_results/reference/2026-08-04-e3-birmingham-per-facility.csv,pre-audit era; its producing script is retired or its result is dead (EXP-029/D-019); retained for provenance
